tico;ppro;dpro;stat;desc;hist;autr;adrs;reg;dpt_lettre;commune;affe;wadrs;wcom;code_departement;ploc;dmaj;ref;insee;contact;sclx;coordonnees_ban
Maison;La façade sur rue (cad. AB 146) : inscription par arrêté du 19 décembre 1946, radié de l'inscription au titre des monuments historiques par arrêté du 30 janvier 2012;;propriété de la commune;;Le compoix de 1696 (île Saint-Crépin) situe à cet endroit la maison de Gabriel Loys, chanoine de Saint-Paul. Vers 1780, les religieux de Fontfroide figurent comme propriétaires. Il semble que la maison n'existait pas en 1576. Les façades présentaient de larges surfaces de parement en moellons taillés. Le premier étage s'ouvrait par deux grandes fenêtres rectangulaires, divisées en deux parties par un meneau vertical en bois. L'encadrement était formé de claveaux à bossages alternés, dits bossages en trémie, particulièrement fréquents à Narbonne au 17e siècle. : les claveaux longs offraient une forte saillie plane dont le contour rectangulaire était souligné par une profonde rainure. Les claveaux courts faisaient une saillie égale mais dont la surface était réduite à un petit carré, raccordé à la surface de fond par quatre onglets cylindriques concaves. L'encadrement supérieur, appareillé en plate-bande, présentait la même disposition que les jambages, à cela près que les rectangles y devenaient des trapèzes suivant l'oblique des joints. Edifice détruit en 1976 au profit du parking.;;Parmentier (rue) 16;Occitanie;Aude;Narbonne;;16 rue Parmentier;Narbonne;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102833;11262;mediatheque.patrimoine@culture.gouv.fr;17e s.;43.18329,3.001061
Château de Celeyran;Pierre avec inscription gallo-romaine incrustée dans le mur Sud du chevet de la chapelle : classement par arrêté du 6 novembre 1952;1952/11/06 : classé MH;propriété privée;;;;;Occitanie;Aude;Salles-d'Aude;;;Salles-d'Aude;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102899;11370;mediatheque.patrimoine@culture.gouv.fr;Gallo-romain;43.228865,3.105517
Croix de chemin en pierre;Croix de chemin en pierre du 16e siècle : classement par arrêté du 2 juillet 1911;1911/07/02 : classé MH;propriété de la commune;;"Croix en grès présentant une composition avec, au centre, dans un écusson, un cerf (armes des seigneurs de Serviès) ; au revers, une main bénissant.";;;Occitanie;Aude;Serviès-en-Val;;;Serviès-en-Val;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102904;11378;mediatheque.patrimoine@culture.gouv.fr;16e s.;43.094522,2.521475
Grand Temple;Le grand Temple (cad. AE 110) : classement par arrêté du 18 juin 1979;1979/06/18 : classé MH;propriété de la commune;;C'est par Anduze, lieu de passage entre les Cévennes et la plaine, que passaient de nombreux missionnaires venus distribuer les écrits de la Réforme. Dès 1540, la population est en lutte contre son clergé. En 1545, les barons d'Anduze se convertissent au protestantisme. A cette époque, la presque totalité de la population est devenue protestante. L'église de la réforme est créée en 1560. En 1567, les premiers cultes ont lieu dans la maison consulaire, rue Notarié. En 1590, ce local est agrandi. En 1602, construction du premier temple sur l'emplacement de l'église. En 1686, ce temple est détruit sur ordre du roi. Au début du 19e siècle, un nouveau temple est en construction sur l'emplacement des casernes bâties en 1740. Il s'écroule en 1812. Le temple actuel, situé sur le même emplacement que le précédent, a été construit de 1818 à 1823. Le clocher date de 1883. Ce temple est l'un des plus importants du département et occupe une place très importante dans l'histoire du protestantisme dans le Midi de la France. Le temple s'ouvre sur la place principale. Sa façade, aveugle, est rythmée de pilastres et précédée d'un porche constitué par une colonnade surmontée d'un fronton triangulaire. Son plan est rectangulaire. La nef est couverte par trois voûtes dont les arêtes retombent sur six gros piliers carrés. Les bas-côtés sont surmontés de tribunes largement ouvertes sur la nef.;Grulet (ingénieur militaire);;Occitanie;Gard;Anduze;;;Anduze;30;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00102954;30010;mediatheque.patrimoine@culture.gouv.fr;19e s.;44.053864,3.979121
Immeuble, ancien couvent des Cordeliers;L'ancien portail du couvent, en totalité (cad. AY 194) : classement par arrêté du 17 février 2006;2006/02/17 : classé MH;propriété privée;;La porte de l'ancien couvent des Cordeliers a été transférée en ville. Elle est encadrée de deux pilastres ioniques portant un entablement dont la frise est ornée de rinceaux. La clé de la plate bande formant linteau garde la trace d'un écusson porté par deux amours et couronné d'un masque et de feuillage. Au-dessus de l'entablement est creusée une niche surmontée d'une urne, accolée de consoles et de deux pots de fleurs ornés de têtes d'amours et de draperies. Un oeil de boeuf elliptique est percé au-dessus de chaque pot de fleur.;;Eugène-Vigne (rue) 22, anciennement 26;Occitanie;Gard;Beaucaire;;26 rue Eugène-Vigne;Beaucaire;30;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00102990;30032;mediatheque.patrimoine@culture.gouv.fr;16e s.;43.806502,4.645602
Maison;Façade et toiture sur la place de la République : inscription par arrêté du 12 octobre 1946;1946/10/12 : inscrit MH;propriété privée;;;;Bijoutiers (rue des) 11;Occitanie;Gard;Beaucaire;;11 rue des Bijoutiers;Beaucaire;30;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00103005;30032;mediatheque.patrimoine@culture.gouv.fr;;43.807865,4.645834
Ancien prieuré Notre-Dame de Relay;L'ancienne église et le portail (cad. A 319) : inscription par arrêté du 7 août 1930;1930/08/07 : inscrit MH;propriété privée;;Prieuré fondé vers 1100, qui dépendait de l'abbaye de Fontevrault, et dont les bâtiments existent encore en partie, transformés en habitations ou granges. L'accès se fait par un portail du début du 17e siècle qui se compose d'une arcade en plein cintre encadrée de pilastres doriques à bossages arrondis exagérément saillants, supportant un entablement à fronton circulaire coupé, encadrant un grand cartouche accompagné de palmes. A l'ouest du cloître, un long bâtiment construit au 16e siècle comprenait les cellules et se continuait au nord jusqu'à un bâtiment affecté aux cuisines. La partie nord de cette aile a disparu. De l'aile sud ne subsiste que la partie occidentale. Fuye cylindrique du 16e siècle.;;;Centre-Val de Loire;Indre-et-Loire;Pont-de-Ruan;;;Pont-de-Ruan;37;Anciennement région de : Centre;2019-11-05;PA00097918;37186;mediatheque.patrimoine@culture.gouv.fr;"12e s.;16e s.";47.260245,0.565673
Manoir de Vonnes, ou Vonne (ancien prieuré);Manoir de Vonnes et ses intérieurs (cad. A 134) : classement par arrêté du 4 février 1943;1943/02/04 : classé MH;propriété privée;;Balzac le décrit sous le nom de Clochegourde dans Le Lys dans la Vallée. Intéressant exemple d'architecture du début du 17e siècle, construit vers 1615 par Horace Desjardins, maire de Tours, l'édifice se compose d'un corps de bâtiment flanqué de deux ailes peu saillantes sur chacune des faces principales, le tout ne comportant qu'un rez-de-chaussée. Au-dessus d'une corniche rectangulaire s'élèvent, en avant d'un haut comble, d'importantes lucarnes, celles du côté nord accolées de consoles à larges feuilles d'acanthe, et couronnées d'un fronton coupé encadrant un fleuron.;;;Centre-Val de Loire;Indre-et-Loire;Pont-de-Ruan;;;Pont-de-Ruan;37;Anciennement région de : Centre;2019-11-05;PA00097920;37186;mediatheque.patrimoine@culture.gouv.fr;17e s.;47.260245,0.565673
Château des Lions;"Chapelle (ancienne église Sainte-Mélanie) : inscription par arrêté du 12 mai 1927 ; Les façades et toitures de l'ancienne poterne (cad. B 129) : inscription par arrêté du 27 octobre 1971";"1927/05/12 : inscrit MH ; 1971/10/27 : inscrit MH";propriété d'une société privée;;Le domaine de Preuilly était considéré comme la première baronnie de Touraine. En 930, le vicomte Atton, premier seigneur connu, y construisit un château, appelé château du Lion, qui fut détruit en 1130. Au 14e siècle, la forteresse soutint plusieurs sièges contre les Anglais qui s'en emparèrent et la démantelèrent. Le château est restauré vers 1422 par Pierre Frottier, auquel Charles VII confia l'éducation de sa fille Jeanne, qu'il eut d'Agnès Sorel. Les dernières réparations furent faites au début du 17e siècle. A partir de 1650, les barons établirent leur résidence à Azay-le-Ferron, et abandonnèrent définitivement leur château de Preuilly. Au sud, une porte féodale en berceau est accompagnée d'une tour ronde et d'un petit logis couvert en pavillon, qui servaient de premières défenses à la forteresse. Le rez-de-chaussée de la tour devait servir de prison. Un mur d'enceinte encercle le domaine.;;;Centre-Val de Loire;Indre-et-Loire;Preuilly-sur-Claise;;;Preuilly-sur-Claise;37;Anciennement région de : Centre;2019-04-03;PA00097923;37189;mediatheque.patrimoine@culture.gouv.fr;"14e s.;15e s.";46.853806,0.931553
Manoir de la Rabaterie;Les façades, les toitures et la tour d'escalier (cad. AO 153, 357, 432, 433) : inscription par arrêté du 22 mai 1948;1948/05/22 : inscrit MH;propriété privée;;Cette habitation de la fin du 15e siècle passe pour avoir été celle d'Olivier le Daim, dit Necker. Le manoir se compose d'un bâtiment et de deux ailes inégales en retour d'équerre vers l'ouest. La façade occidentale est divisée par une haute tour carrée contenant l'escalier en vis, et dont la corniche est au niveau du faîte de la toiture.;;Saint-François (rue) 75 à 81;Centre-Val de Loire;Indre-et-Loire;Riche (La);;75 à 81 rue Saint-François;La Riche;37;Anciennement région de : Centre;2019-11-05;PA00097943;37195;mediatheque.patrimoine@culture.gouv.fr;15e s.;47.385712,0.665962
Maison;"Façade et toiture du n° 1, place du Marché (Hôtel de Ville) : inscription par arrêté du 9 juin 1932 ; Façades et toitures du corps de logis principal (à l'exception de l'adjonction moderne accolée à la façade sur cour du bâtiment donnant sur la place du Marché) ; escalier en bois conservé à partir du premier étage et jusqu'aux combles, situé dans l'aile Nord en retour d'équerre du corps de logis principal ; combles (cad. C 215 (lot 1) , 216 217) : inscription par arrêté du 26 novembre 1991";"1932/06/09 : inscrit MH ; 1991/11/26 : inscrit MH";"propriété de la commune ; propriété privée";;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;"Marché (place du) 1 ; Grande-Rue () 1bis";Centre-Val de Loire;Indre-et-Loire;Richelieu;;"1 place du Marché ; Grande-Rue 1bis";Richelieu;37;Anciennement région de : Centre;2019-04-03;PA00097950;37196;mediatheque.patrimoine@culture.gouv.fr;17e s.;47.012694,0.324378
Maison;"Façade et toiture (sur rue) : inscription par arrêté du 9 juin 1932 ; Façade Ouest sur cour du corps de logis principal et de l'aile en retour d'équerre ; inscription rapportée dans le porche du corps de logis principal ; inscription rapportée de la porte de l'escalier située dans le porche du corps de logis principal (cad. C 241, 242) : inscription par arrêté du 5 mars 1992";"1932/06/09 : inscrit MH ; 1992/03/05 : inscrit MH";propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;Grande-Rue () 7;Centre-Val de Loire;Indre-et-Loire;Richelieu;;Grande-Rue 7;Richelieu;37;Anciennement région de : Centre;2019-11-05;PA00097962;37196;mediatheque.patrimoine@culture.gouv.fr;17e s.;47.013985,0.323846
Maison;"La facade et la toiture sur rue : inscription par arrêté du 9 juin 1932 - Les façades et les toitures sur cour du corps de logis et de l'aile nord d'origine, en retour d'équerre ; le porche traversant le corps de logis principal ; le comble situé dans le corps de logis principal et sa cheminée en pierre ; la cour intérieure (cad. C 733, 1010, 1012) : inscription par arrêté du 8 juin 2004";"1932/06/09 : inscrit MH ; 2004/06/08 : inscrit MH";propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;Grande-Rue () 15;Centre-Val de Loire;Indre-et-Loire;Richelieu;;Grande-Rue 15;Richelieu;37;Anciennement région de : Centre;2019-11-05;PA00097970;37196;mediatheque.patrimoine@culture.gouv.fr;17e s.;47.013985,0.323846
Maison;Façade et toiture : inscription par arrêté du 9 juin 1932;1932/06/09 : inscrit MH;propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;Marché (place du) 6;Centre-Val de Loire;Indre-et-Loire;Richelieu;;6 place du Marché;Richelieu;37;Anciennement région de : Centre;2019-11-05;PA00097989;37196;mediatheque.patrimoine@culture.gouv.fr;;47.012631,0.323716
Maison;Façade et toiture : inscription par arrêté du 9 juin 1932;1932/06/09 : inscrit MH;propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;Marché (place du) 21;Centre-Val de Loire;Indre-et-Loire;Richelieu;;21 place du Marché;Richelieu;37;Anciennement région de : Centre;2019-11-05;PA00097999;37196;mediatheque.patrimoine@culture.gouv.fr;;47.012042,0.324651
Maison;Façade et toiture : inscription par arrêté du 9 juin 1932;1932/06/09 : inscrit MH;propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;Marché (place du) 27;Centre-Val de Loire;Indre-et-Loire;Richelieu;;27 place du Marché;Richelieu;37;Anciennement région de : Centre;2019-11-05;PA00098003;37196;mediatheque.patrimoine@culture.gouv.fr;;47.011949,0.324444
Maison;Façade et toiture : inscription par arrêté du 9 juin 1932;1932/06/09 : inscrit MH;propriété privée;;Le cardinal de Richelieu décida de transformer le village où il était né en une ville dont les plans furent tracés par l'architecte du château, Jacques Lemercier. La ville présente un plan régulier, avec fossés, mur d'enceinte, portes monumentales, rues symétriques et maisons alignées.;;Religieuses (place des) 17;Centre-Val de Loire;Indre-et-Loire;Richelieu;;17 place des Religieuses;Richelieu;37;Anciennement région de : Centre;2019-11-05;PA00098018;37196;mediatheque.patrimoine@culture.gouv.fr;;47.015464,0.324168
Maison;Façade et toitures : inscription par arrêté du 9 juin 1932;1932/06/09 : inscrit MH;propriété privée;;;;Religieuses (place des) 38;Centre-Val de Loire;Indre-et-Loire;Richelieu;;38 place des Religieuses;Richelieu;37;Anciennement région de : Centre;2019-04-03;PA00098033;37196;mediatheque.patrimoine@culture.gouv.fr;;47.016054,0.323281
Chapelle troglodyte;Chapelle troglodyte (cad. AT 505) : inscription par arrêté du 16 mai 1972;1972/05/16 : inscrit MH;propriété privée;;Avant la Révolution, l'ensemble appartenait au chapitre de Tours. Un porche de pierre décoré d'un large chanfrein du 15e siècle, donne accès à un ensemble troglodyte. Une longue galerie taillée dans le roc mène à la chapelle dont le mur latéral droit est le seul en maçonnerie. Il est percé de plusieurs fenêtres des 14e et 15e siècles, d'un oculus, de deux petites fenêtres à arc surbaissé, et d'une en ogive à remplage trilobé. La porte se place sous un grand arc surbaissé dominant deux fenêtres quasi jumelles à linteau arrondi et chanfrein. A l'intérieur, le retable de la fin de la Renaissance a été construit en pierre de taille. La place de l'autel est marquée par un creux. Une porte à chanfrein et arc surbaissé donne sur une pièce réduite taillée dans le roc. La voûte de la chapelle est également taillée dans le roc.;;;Centre-Val de Loire;Indre-et-Loire;Rochecorbon;;;Rochecorbon;37;Anciennement région de : Centre;2019-11-05;PA00098041;37203;mediatheque.patrimoine@culture.gouv.fr;14e s.;47.414882,0.755754
