country	year	january	february	march	april	may	june	july	august	september	october	november	december
France	1969	-0.4	2.5	5.1	14.9	19.8	23.0	20.3	19.9	13.6	6.8	5.4	-4.2
France	1970	3.0	2.6	4.6	13.7	13.3	23.1	29.4	20.5	10.1	10.0	4.4	-0.7
France	1971	2.0	-2.8	8.0	9.7	16.1	19.9	21.0	29.8	11.4	9.2	8.7	-0.4
France	1972	5.0	-2.2	8.5	10.9	15.9	21.1	23.0	29.6	16.2	14.0	7.5	-3.8
France	1973	-4.2	2.8	9.8	10.7	13.5	22.7	25.4	20.7	12.9	12.4	1.0	-3.2
France	1974	-3.1	4.1	4.6	10.0	16.8	24.4	29.2	29.3	13.3	14.6	9.1	-2.8
France	1975	-2.8	-2.4	9.0	5.7	11.3	16.4	24.3	28.8	14.8	14.8	2.4	1.3
France	1976	-4.8	-0.6	5.9	10.4	17.9	22.5	27.4	27.6	13.6	13.9	6.8	-2.1
France	1977	-3.5	4.6	4.9	11.1	13.3	22.6	29.5	20.2	13.5	13.3	9.6	4.1
France	1978	3.3	0.2	9.6	7.2	19.7	22.1	20.4	19.1	19.7	10.8	4.8	2.8
France	1979	3.2	2.9	10.5	14.8	11.4	20.2	20.8	18.0	16.3	8.6	9.1	0.3
France	1980	-0.4	5.0	3.8	5.7	19.4	17.4	25.2	24.0	12.1	10.3	2.5	4.8
France	1981	2.8	4.6	7.5	13.6	11.3	24.8	24.3	21.5	16.0	5.7	6.4	-1.3
France	1982	0.6	-1.7	6.6	8.4	13.8	21.5	19.4	26.9	11.9	13.0	6.5	-1.1
France	1983	-2.4	4.7	7.6	10.6	18.8	24.1	24.6	24.2	11.2	5.3	1.4	-0.4
France	1984	-1.6	3.9	7.3	14.5	11.7	19.1	26.9	22.6	13.5	14.4	9.0	1.5
France	1985	-4.5	5.5	5.3	8.4	17.2	19.7	20.8	26.1	11.5	13.2	5.0	3.1
France	1986	0.1	-0.5	11.7	11.4	16.9	17.5	26.8	26.2	18.3	10.0	8.6	1.4
France	1987	-0.8	-1.6	2.3	13.2	14.8	15.2	25.1	19.8	17.6	13.3	6.8	2.9
France	1988	-0.1	-2.7	4.5	11.1	13.9	17.3	28.1	20.1	12.5	12.6	7.5	-0.3
France	1989	-3.8	3.1	5.5	14.1	11.3	22.8	23.5	26.1	18.2	14.4	3.5	-0.3
France	1990	-3.7	3.1	4.5	8.3	18.7	18.2	28.6	19.9	13.4	13.9	0.6	3.2
France	1991	-2.7	2.3	9.8	14.3	17.0	16.8	25.7	26.8	15.0	5.9	2.5	2.9
France	1992	4.0	0.1	9.2	11.0	13.2	19.0	20.6	28.1	16.1	12.1	8.0	1.6
France	1993	-0.2	6.9	5.2	7.2	11.5	22.2	20.2	21.7	19.1	5.4	6.2	4.3
France	1994	-1.3	4.1	7.8	9.8	10.0	22.4	27.3	25.8	10.7	14.9	5.9	-0.2
France	1995	-1.3	3.3	8.1	5.4	10.8	18.6	29.0	22.3	14.1	6.1	8.0	-0.2
France	1996	2.8	-2.2	4.7	13.4	18.2	23.8	18.8	23.0	12.7	11.9	0.2	-3.4
France	1997	-3.1	1.6	7.6	8.3	18.3	21.5	18.9	25.4	11.9	13.3	8.6	-0.8
France	1998	4.3	-0.8	4.4	8.1	16.8	15.8	21.3	29.0	17.1	15.0	0.4	0.6
France	1999	-2.1	-0.9	9.8	5.9	15.6	19.1	21.4	22.6	14.9	5.6	7.5	-2.3
France	2000	-3.2	-2.6	11.7	14.3	15.1	19.8	20.3	23.6	14.5	5.3	1.5	-2.3
France	2001	3.7	3.4	10.2	8.7	10.4	24.2	19.2	22.7	13.7	14.4	4.4	-0.5
France	2002	-3.2	0.3	3.5	13.9	16.2	22.1	28.6	20.1	11.4	9.6	0.7	-2.8
France	2003	-3.8	3.1	2.4	7.6	16.2	17.1	28.9	29.6	12.2	10.7	3.4	0.9
France	2004	-4.1	3.8	8.1	7.8	10.6	19.6	24.6	22.6	11.9	5.5	2.7	-0.3
France	2005	-2.3	0.8	4.6	6.9	11.5	19.2	29.1	23.4	16.2	7.7	7.9	-0.8
France	2006	-1.2	-0.9	5.5	6.9	10.0	19.6	29.1	18.7	13.5	5.9	6.7	-3.7
France	2007	-3.7	0.8	7.5	14.0	12.7	22.9	21.5	18.1	15.6	14.1	0.2	2.1
France	2008	-1.1	-2.8	6.6	14.0	13.5	16.8	19.7	20.3	17.6	10.1	8.0	-5.0
France	2009	0.8	0.7	5.2	10.5	18.8	21.3	27.8	26.9	11.4	5.3	5.7	-2.4
France	2010	-0.4	-1.9	4.8	13.5	18.2	17.9	29.3	25.8	19.2	5.8	4.0	5.0
France	2011	4.5	4.6	2.7	9.9	14.6	25.0	18.2	24.5	12.8	9.5	7.7	3.9
France	2012	0.1	3.2	3.9	8.9	11.6	17.3	24.1	25.5	13.9	8.6	7.7	-0.9
France	2013	-0.5	3.1	6.3	7.3	15.2	21.3	26.2	20.3	15.9	12.1	8.4	0.8
France	2014	4.9	6.5	6.0	7.3	19.2	23.6	23.8	27.7	11.4	11.6	4.4	-2.2
France	2015	2.8	0.9	9.4	12.2	19.8	16.1	29.4	21.1	11.1	5.3	6.7	-4.4
France	2016	4.9	5.2	7.5	10.7	13.8	21.4	24.3	19.8	18.1	13.4	0.7	-2.2
France	2017	-2.5	0.3	8.7	8.2	18.6	15.4	22.0	25.1	14.5	5.9	8.4	3.3
France	2018	-1.7	5.5	10.8	7.3	15.6	24.0	29.8	20.6	15.9	8.2	5.4	1.4
France	2019	3.3	0.9	3.6	11.2	11.7	25.0	28.5	26.3	17.0	12.1	8.4	-1.3
France	2020	-0.2	-2.5	11.3	13.9	12.0	19.1	28.2	24.4	16.2	5.8	6.6	-1.0
Allemagne	1950	4.4	6.5	5.2	14.7	13.7	19.1	26.7	28.9	14.2	11.2	6.2	4.8
Allemagne	1951	-4.8	-0.8	2.3	12.1	15.7	20.9	22.3	19.1	11.0	14.6	5.0	3.4
Allemagne	1952	4.0	6.8	8.1	13.7	16.4	18.3	26.4	20.8	11.0	12.2	1.5	-4.1
Allemagne	1953	2.5	6.2	11.6	10.4	17.6	24.8	26.5	29.6	18.6	7.6	4.0	0.2
Allemagne	1954	-3.5	-2.3	9.9	13.8	17.9	22.8	28.4	24.0	16.1	8.9	0.2	0.6
Allemagne	1955	1.3	2.5	9.0	10.8	18.6	21.1	27.2	27.8	17.4	5.4	7.5	0.9
Allemagne	1956	-4.0	-1.4	4.5	5.2	15.5	20.2	29.3	25.5	17.8	13.0	4.9	3.4
Allemagne	1957	4.1	0.8	7.5	6.0	19.4	22.0	18.7	23.5	19.3	6.8	8.3	0.3
Allemagne	1958	-0.6	3.5	3.5	5.0	16.1	20.1	27.7	21.7	12.6	11.5	1.8	0.6
Allemagne	1959	-0.6	-0.6	4.6	12.4	15.1	17.7	23.9	29.1	11.5	12.9	5.7	-2.1
Allemagne	1960	1.3	-2.2	2.7	8.5	14.5	18.0	26.4	20.1	16.4	8.9	2.1	-1.2
Allemagne	1961	2.5	2.7	5.2	7.2	18.9	23.7	29.7	27.4	19.3	8.1	6.6	2.5
Allemagne	1962	-5.0	-0.6	10.2	8.8	18.3	23.8	29.7	23.0	10.6	7.6	9.2	-2.5
Allemagne	1963	-1.4	6.7	8.3	13.2	17.4	20.3	28.5	24.0	17.2	7.0	6.6	-2.1
Allemagne	1964	2.5	5.0	4.2	7.7	17.0	20.1	24.1	23.1	16.4	10.3	5.0	4.7
Allemagne	1965	2.8	-0.5	6.0	9.2	12.7	21.3	24.6	24.2	19.3	5.9	4.7	-1.2
Allemagne	1966	4.7	6.1	8.9	11.6	17.1	18.7	23.6	26.8	14.7	11.8	2.4	1.0
Allemagne	1967	-0.8	1.1	7.9	9.3	16.0	16.7	25.6	21.9	15.4	12.8	8.1	-1.6
Allemagne	1968	-4.5	-2.5	10.9	7.7	15.0	15.7	24.9	26.3	12.9	14.4	8.2	1.4
Allemagne	1969	4.7	6.0	5.4	13.6	18.1	25.0	21.1	28.4	15.9	13.9	1.6	-2.2
Allemagne	1970	4.7	-0.5	11.5	6.4	16.7	16.0	28.1	29.3	11.2	12.7	5.2	-3.4
Allemagne	1971	1.7	2.9	5.0	11.9	18.5	21.9	24.2	20.8	15.3	14.3	4.4	-3.6
Allemagne	1972	-1.5	6.4	3.9	12.4	15.8	16.1	20.3	20.7	13.5	9.4	0.2	4.0
Allemagne	1973	2.9	-1.0	4.2	7.7	13.4	18.5	21.6	26.7	15.3	8.8	4.6	0.3
Allemagne	1974	0.7	-0.2	2.8	12.7	12.3	15.4	21.4	19.0	17.0	9.8	3.5	3.1
Allemagne	1975	-2.4	6.7	6.1	14.2	12.2	24.9	23.0	27.2	16.0	6.9	4.7	2.4
Allemagne	1976	-0.2	5.7	10.9	11.2	15.6	19.4	23.4	23.2	14.4	9.5	1.1	-2.3
Allemagne	1977	0.0	2.1	4.1	8.2	10.9	22.4	24.0	23.1	12.3	5.8	5.8	-2.7
Allemagne	1978	2.5	2.2	4.4	8.5	19.8	22.2	29.7	20.9	18.2	14.3	5.9	2.8
Allemagne	1979	2.8	0.7	2.5	12.9	10.7	22.8	24.7	26.9	18.9	12.2	6.9	-1.6
Allemagne	1980	-4.9	6.5	10.4	5.3	12.6	24.9	20.9	27.5	18.8	5.6	0.2	-2.4
Allemagne	1981	4.3	-2.6	4.9	11.8	16.9	22.4	27.3	23.0	13.8	10.7	1.3	-4.8
Allemagne	1982	4.6	5.6	11.7	7.8	16.1	18.5	23.7	21.4	12.2	8.3	0.3	-4.7
Allemagne	1983	1.5	2.5	2.3	5.4	16.0	15.4	29.4	24.9	19.0	10.6	8.1	3.5
Allemagne	1984	3.9	1.4	7.9	11.4	19.9	24.0	28.4	18.4	15.5	6.1	7.4	-1.3
Allemagne	1985	1.1	5.9	6.4	11.7	19.2	18.0	24.6	26.5	11.6	13.2	1.5	-2.8
Allemagne	1986	-2.1	2.6	11.7	6.5	14.1	17.6	24.7	22.3	17.5	9.3	2.5	3.1
Allemagne	1987	5.0	-1.4	11.1	6.4	15.5	21.8	26.7	20.6	10.7	13.8	5.5	-2.8
Allemagne	1988	3.2	4.6	10.3	7.3	16.6	23.7	21.4	23.7	13.7	10.4	5.8	2.0
Allemagne	1989	-0.7	5.5	10.9	9.2	18.8	19.6	29.0	25.9	12.2	13.0	6.7	1.6
Allemagne	1990	1.4	-2.8	2.6	14.4	18.5	17.6	25.9	29.2	10.3	11.9	1.7	0.9
Allemagne	1991	-4.1	0.5	6.4	10.8	15.8	23.6	22.3	28.1	16.6	6.6	3.7	-1.9
Allemagne	1992	3.4	3.0	10.7	5.1	15.1	23.0	27.7	28.4	12.9	9.5	2.5	-0.7
Allemagne	1993	2.1	-2.8	6.8	8.6	16.3	18.2	27.8	22.2	12.3	7.1	4.0	1.0
Allemagne	1994	-3.0	2.6	11.0	13.7	10.4	17.6	26.2	23.9	14.7	7.5	6.4	4.8
Allemagne	1995	-0.9	6.0	11.6	12.7	18.3	16.5	27.5	20.5	10.4	8.4	4.1	0.7
Allemagne	1996	2.3	5.6	7.6	6.9	15.6	21.9	24.5	29.1	15.9	11.2	3.1	-1.9
Allemagne	1997	1.3	-0.6	11.4	11.9	13.8	19.9	20.3	20.9	15.8	12.2	5.7	0.1
Allemagne	1998	-0.2	0.2	3.9	11.0	14.5	21.0	24.5	23.6	11.2	13.1	3.3	-3.8
Allemagne	1999	-2.7	-2.5	5.5	7.7	13.8	17.6	23.8	22.1	13.2	13.0	0.2	4.0
Allemagne	2000	-1.8	5.2	8.1	10.1	10.1	24.2	21.0	21.8	15.9	8.3	5.2	0.6
Allemagne	2001	0.4	-0.9	4.3	11.6	18.3	21.6	26.7	24.6	15.1	10.9	5.3	-0.1
Allemagne	2002	-0.5	-0.7	2.3	10.6	18.2	17.1	28.6	27.6	19.6	5.5	8.1	-4.1
Allemagne	2003	1.5	4.6	3.6	6.0	18.5	22.3	28.5	24.2	17.9	13.9	5.7	-4.4
Allemagne	2004	-3.0	2.9	11.2	13.9	15.5	24.6	18.7	22.4	14.9	10.8	7.4	-1.6
Allemagne	2005	0.6	-0.9	10.1	10.7	13.3	17.1	19.5	18.8	13.4	14.5	7.9	-3.7
Allemagne	2006	3.5	0.5	8.2	8.4	18.3	24.1	27.0	21.9	18.5	11.4	9.8	-0.6
Allemagne	2007	-3.0	1.6	11.0	6.7	15.8	23.5	29.4	18.3	12.7	11.2	6.4	0.4
Allemagne	2008	-0.9	-2.1	2.2	12.5	12.1	15.9	28.0	24.6	12.4	10.3	3.9	-2.9
Allemagne	2009	0.8	0.6	9.7	14.4	18.0	16.1	19.5	20.4	14.6	6.7	6.1	-4.6
Allemagne	2010	-3.3	4.2	9.8	5.0	14.0	24.8	27.0	29.9	10.6	14.9	6.4	-1.9
Allemagne	2011	1.3	-2.2	4.0	5.2	12.6	24.9	27.3	26.3	12.3	7.4	5.7	2.8
Allemagne	2012	2.6	2.3	6.5	13.8	10.5	19.4	27.3	20.7	14.2	6.9	0.6	1.7
Allemagne	2013	-0.7	6.6	10.4	14.0	17.2	23.9	27.8	21.2	12.0	14.1	8.6	1.7
Allemagne	2014	0.7	2.4	7.1	9.7	16.6	22.7	25.4	18.1	17.0	7.4	1.0	0.9
Allemagne	2015	-1.9	1.7	6.3	9.1	18.4	21.4	23.3	18.6	13.9	10.4	7.4	2.0
Allemagne	2016	-4.6	2.9	3.1	11.8	16.7	19.7	28.6	26.6	11.1	7.8	5.9	3.6
Allemagne	2017	-1.6	0.9	7.0	11.4	18.4	20.1	28.0	19.7	12.9	8.6	0.9	0.9
Allemagne	2018	-0.4	-0.7	4.6	11.7	17.2	16.1	21.0	29.1	19.6	9.4	5.1	0.6
Allemagne	2019	-1.4	1.8	2.0	12.0	11.4	15.2	21.7	29.5	15.8	8.7	3.0	3.4
Allemagne	2020	-1.1	0.0	3.3	11.2	18.7	19.4	29.1	28.3	15.9	12.9	1.9	4.6
Espagne	1950	1.5	6.8	2.1	10.2	18.8	22.3	25.5	21.5	18.4	12.6	0.2	3.7
Espagne	1951	-0.4	1.8	6.8	5.2	16.8	16.7	24.4	18.9	18.9	6.3	0.3	1.7
Espagne	1952	-0.2	1.7	9.0	9.9	19.1	18.8	24.0	20.3	11.4	7.6	4.4	1.7
Espagne	1953	-4.9	-2.1	12.0	11.6	15.6	20.7	21.5	24.3	18.9	5.7	5.5	-4.2
Espagne	1954	0.2	5.8	4.5	9.1	17.8	22.4	18.5	24.5	16.3	8.9	8.4	-0.1
Espagne	1955	-2.9	4.6	4.0	6.8	10.7	24.8	28.8	18.9	17.9	14.3	8.6	-0.6
Espagne	1956	-0.6	-0.2	3.2	11.0	17.7	21.9	27.4	25.9	16.8	11.2	1.9	0.6
Espagne	1957	1.3	6.6	6.1	5.0	19.3	19.2	28.1	23.2	15.4	10.4	2.3	4.9
Espagne	1958	0.4	-2.4	3.7	11.0	16.2	17.7	29.1	27.9	15.7	6.0	1.3	3.9
Espagne	1959	4.9	6.3	8.7	6.6	18.0	16.7	28.6	20.1	18.9	8.1	7.1	4.8
Espagne	1960	-0.5	-1.6	6.8	5.9	17.4	22.6	29.5	19.9	17.4	5.1	2.1	3.3
Espagne	1961	-3.1	0.5	5.1	8.5	17.7	18.4	23.3	23.7	18.5	14.4	7.4	-4.8
Espagne	1962	-3.3	5.9	9.6	14.0	12.3	17.9	18.8	23.8	16.9	11.5	2.1	0.9
Espagne	1963	-3.7	4.0	6.0	13.5	14.0	24.2	20.2	18.5	16.7	11.9	7.5	3.8
Espagne	1964	-0.1	3.9	8.5	13.8	14.0	23.2	24.4	20.2	17.9	11.1	1.8	-4.2
Espagne	1965	-1.7	2.4	8.0	11.7	11.1	22.3	29.4	20.4	12.3	6.7	1.7	-1.5
Espagne	1966	-2.4	3.8	8.0	5.7	13.5	21.6	29.8	25.1	10.8	9.0	5.7	0.0
Espagne	1967	-0.9	4.6	6.5	7.7	11.2	16.9	27.0	24.8	13.0	8.6	1.4	-4.7
Espagne	1968	0.0	3.3	8.7	13.0	11.7	16.5	21.4	22.3	10.4	10.6	3.0	4.0
Espagne	1969	4.8	0.1	11.2	11.3	16.0	20.8	25.9	26.4	15.8	5.7	9.9	-0.1
Espagne	1970	-3.2	3.9	4.9	13.6	15.1	19.9	19.7	24.7	15.9	10.4	1.8	-0.7
Espagne	1971	-1.4	-2.1	11.0	12.8	10.1	20.6	19.0	26.1	19.1	5.2	9.6	-0.1
Espagne	1972	1.0	-1.7	4.3	7.2	10.6	20.2	21.0	21.5	11.1	6.1	6.6	1.3
Espagne	1973	-1.7	-2.5	9.1	6.1	14.6	20.0	28.9	28.7	11.6	7.2	4.3	3.8
Espagne	1974	2.2	3.3	4.4	5.1	12.4	20.1	23.3	21.9	17.0	10.3	7.2	2.6
Espagne	1975	-2.2	6.1	11.4	11.1	16.2	24.0	19.8	21.9	11.8	11.1	8.9	-4.3
Espagne	1976	-4.8	4.5	3.0	7.4	11.4	18.3	23.5	28.6	17.3	13.0	9.2	4.2
Espagne	1977	0.0	0.9	3.9	6.1	13.7	23.9	18.8	25.8	12.7	7.5	0.7	-2.9
Espagne	1978	-3.8	6.3	2.5	14.2	14.5	24.4	22.9	28.7	18.8	8.9	9.9	-0.3
Espagne	1979	-4.5	3.9	10.2	12.8	12.6	22.3	18.6	25.3	18.8	12.9	1.4	-3.6
Espagne	1980	-3.7	-1.1	8.0	6.3	17.9	24.6	27.1	24.7	15.5	8.2	9.7	2.3
Espagne	1981	-1.7	6.9	7.9	10.2	18.1	16.3	19.5	29.7	20.0	11.5	3.4	-2.9
Espagne	1982	-4.7	2.9	7.3	10.9	16.7	22.5	28.2	29.8	13.9	12.5	9.7	2.2
Espagne	1983	0.8	1.7	8.8	10.4	13.9	24.8	20.1	27.9	10.6	13.5	9.8	-1.1
Espagne	1984	-0.1	4.1	7.3	8.1	13.6	18.2	29.8	29.3	16.0	13.0	7.4	3.7
Espagne	1985	1.4	4.2	6.3	11.9	19.2	21.5	29.2	27.6	13.6	8.8	6.6	-3.1
Espagne	1986	1.6	-2.7	11.7	6.2	17.8	17.8	22.4	28.0	18.4	6.7	8.3	-3.0
Espagne	1987	-0.5	5.9	7.0	8.9	12.5	16.9	29.6	25.5	17.4	14.4	8.7	-4.1
Espagne	1988	-4.2	-2.1	2.3	7.9	14.5	19.0	25.4	27.1	19.2	12.8	0.0	-3.2
Espagne	1989	3.1	0.4	3.9	6.0	17.9	22.6	23.9	23.8	16.6	11.2	9.3	-1.1
Espagne	1990	3.1	2.7	6.3	6.8	18.0	15.3	22.4	20.9	13.4	14.2	2.6	-1.6
Espagne	1991	-2.2	6.7	6.7	10.0	13.2	16.3	18.8	28.0	11.5	9.6	5.2	-3.4
Espagne	1992	-2.1	3.5	5.2	11.0	16.3	17.0	19.8	19.3	10.4	14.7	8.2	1.9
Espagne	1993	1.9	4.2	8.2	5.3	10.1	23.3	27.7	23.0	10.0	5.4	9.1	4.1
Espagne	1994	2.7	2.3	10.0	5.3	13.1	17.3	29.2	22.8	17.6	12.5	9.0	-3.1
Espagne	1995	-2.9	-1.2	3.6	5.3	12.5	23.0	30.0	18.6	18.7	7.6	7.4	-4.1
Espagne	1996	-4.7	0.3	2.5	7.9	19.3	21.2	27.7	25.5	18.7	6.6	7.7	-3.1
Espagne	1997	-3.1	-2.3	3.9	12.9	15.9	24.9	27.0	26.2	18.5	11.7	6.6	0.6
Espagne	1998	1.1	-1.5	6.1	7.8	14.1	18.8	21.9	26.7	10.2	11.0	3.5	3.6
Espagne	1999	4.0	1.6	4.3	14.5	13.8	19.9	27.9	29.6	19.9	13.1	2.8	-0.4
Espagne	2000	-2.3	-0.9	9.2	6.5	19.1	18.5	21.0	24.4	17.0	6.4	3.2	0.1
Espagne	2001	-2.7	6.9	4.1	5.9	10.1	19.6	27.7	28.1	15.8	11.3	2.7	-1.4
Espagne	2002	0.6	3.6	9.9	5.4	15.3	16.3	26.9	24.0	12.1	12.6	1.6	0.2
Espagne	2003	-1.5	3.6	3.4	13.7	18.4	22.9	24.7	23.5	19.0	10.2	7.3	-1.7
Espagne	2004	3.5	7.0	7.5	14.2	14.7	16.4	23.2	19.3	10.3	9.1	8.8	2.7
Espagne	2005	-2.1	-0.4	5.3	11.9	15.1	17.7	18.6	19.4	18.6	13.7	8.8	-2.5
Espagne	2006	1.9	2.8	7.1	6.7	15.5	23.6	24.4	22.1	15.0	5.1	8.0	-0.0
Espagne	2007	-3.4	-2.4	11.5	6.9	15.0	22.7	28.9	27.8	12.0	11.9	0.4	-1.1
Espagne	2008	4.4	-2.6	10.4	5.7	16.4	18.6	21.4	24.2	15.3	11.1	3.9	-2.7
Espagne	2009	-4.3	1.5	11.6	9.8	15.4	20.7	24.3	22.2	19.4	13.2	1.0	2.1
Espagne	2010	-2.1	-1.6	3.1	13.2	13.2	17.0	19.2	28.8	17.6	10.2	8.2	5.0
Espagne	2011	3.5	-1.3	8.5	5.5	11.0	21.2	29.7	29.8	11.8	6.9	1.5	3.6
Espagne	2012	-1.6	-1.1	5.1	11.8	16.6	23.5	22.7	24.1	11.8	9.7	9.0	-2.3
Espagne	2013	3.1	3.7	5.6	9.1	13.5	17.6	23.1	23.3	14.0	8.9	5.7	3.5
Espagne	2014	-2.5	1.9	5.2	14.3	11.3	21.2	29.5	21.4	19.5	13.4	7.2	0.2
Espagne	2015	1.1	1.6	10.8	13.9	18.1	16.6	20.0	22.8	19.9	10.1	1.0	-0.0
Espagne	2016	2.7	2.0	6.3	7.7	11.1	22.0	29.3	25.0	19.4	12.8	9.4	-2.1
Espagne	2017	3.3	-2.4	6.0	8.0	10.8	17.3	19.3	21.0	14.7	8.9	8.8	1.6
Espagne	2018	2.9	6.0	6.0	7.4	18.5	24.5	24.2	26.1	19.6	12.0	1.8	2.4
Espagne	2019	1.7	2.3	6.1	9.0	14.3	22.8	29.8	25.3	12.1	14.7	7.7	3.0
Espagne	2020	-1.2	-1.8	4.5	9.0	11.3	23.0	27.6	22.3	10.4	6.8	5.4	-3.5
Italie	1950	4.6	-1.7	9.6	7.6	12.4	23.1	18.5	25.1	14.7	11.8	1.1	3.2
Italie	1951	1.1	-0.4	9.9	7.9	11.8	23.6	29.1	29.0	10.4	10.1	5.4	-1.8
Italie	1952	1.7	0.3	8.9	6.6	16.9	16.2	23.8	18.6	13.0	9.2	4.2	-2.1
Italie	1953	4.6	-0.5	2.7	7.1	10.8	15.9	26.1	29.5	13.7	5.9	1.3	0.6
Italie	1954	2.1	-0.1	4.5	10.2	15.2	22.0	27.4	29.3	18.5	7.8	4.7	1.2
Italie	1955	4.7	1.1	7.5	6.2	14.5	22.9	19.6	18.8	16.1	8.2	7.1	2.6
Italie	1956	2.5	-2.8	2.4	13.3	19.9	19.5	21.3	21.0	11.2	7.4	9.1	-0.3
Italie	1957	2.1	4.2	7.6	8.5	12.8	17.7	18.4	23.9	19.0	13.8	0.0	-0.6
Italie	1958	4.2	4.5	10.1	12.5	17.4	24.8	20.0	20.9	16.7	5.3	5.9	-3.6
Italie	1959	-4.5	1.9	9.8	5.2	14.5	24.2	21.8	26.8	18.6	14.5	8.2	4.5
Italie	1960	1.6	6.8	3.1	5.5	14.5	20.7	23.8	27.2	10.5	5.2	3.2	1.5
Italie	1961	-3.7	6.9	6.6	11.6	19.0	19.3	19.7	18.3	19.2	11.0	2.5	4.8
Italie	1962	4.4	4.1	8.0	11.2	15.3	22.5	19.5	24.1	18.2	7.9	7.8	3.6
Italie	1963	1.2	3.3	8.7	6.1	12.2	22.1	21.1	24.0	13.0	13.4	2.4	-1.2
Italie	1964	3.6	-2.4	2.5	9.0	10.3	21.8	26.5	29.7	18.8	13.5	6.4	-0.9
Italie	1965	-3.0	4.9	5.6	10.0	19.9	20.5	26.7	25.3	18.7	12.3	7.8	1.1
Italie	1966	4.4	6.5	7.9	6.1	17.9	19.3	24.7	25.9	11.4	5.8	0.8	4.4
Italie	1967	4.8	1.2	4.2	9.4	15.1	24.5	26.3	21.7	17.0	8.1	8.8	2.8
Italie	1968	2.6	5.2	9.7	6.9	17.8	20.6	28.2	18.1	18.3	8.6	3.0	2.0
Italie	1969	-1.2	3.3	7.2	12.4	12.8	23.3	27.6	27.3	13.9	5.6	8.4	1.9
Italie	1970	2.8	-0.4	2.6	9.4	18.4	21.3	27.2	25.6	18.6	9.1	9.7	3.8
Italie	1971	3.0	4.2	4.6	12.8	16.3	20.9	26.1	23.9	18.0	8.8	7.4	3.0
Italie	1972	1.8	-0.6	6.6	9.4	10.8	18.2	20.7	23.4	15.1	12.9	0.0	-3.0
Italie	1973	-4.8	-1.8	8.0	5.8	10.9	19.0	25.8	18.2	18.3	13.5	3.9	2.2
Italie	1974	3.2	-1.5	8.4	10.1	13.8	23.0	19.7	20.2	10.3	6.3	1.3	0.5
Italie	1975	-4.5	3.0	6.2	10.4	10.7	24.8	24.8	18.5	13.3	5.1	9.4	-2.0
Italie	1976	-4.7	1.9	7.2	11.5	14.0	15.3	20.9	23.1	12.7	12.4	8.7	-3.2
Italie	1977	1.3	5.5	11.3	7.8	18.3	18.4	19.7	25.0	19.6	10.7	6.3	-3.8
Italie	1978	0.3	6.2	8.2	13.8	13.6	17.3	20.8	29.5	12.5	7.2	1.5	-1.1
Italie	1979	-0.2	5.9	9.0	8.1	12.1	15.0	22.8	28.8	17.1	15.0	9.6	-3.3
Italie	1980	0.5	3.5	9.1	11.1	17.3	22.3	21.5	24.8	17.3	7.4	0.6	-1.8
Italie	1981	3.9	6.8	10.6	9.0	14.3	17.1	23.9	18.1	11.0	10.6	1.1	-4.1
Italie	1982	-3.8	6.1	11.3	8.8	13.5	19.2	26.5	18.5	19.6	5.3	1.2	3.7
